what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488418632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488431068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488432456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488445007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488447802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488457957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488458459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488601057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488603523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488607527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488609669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488611755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488612155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488713376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488717010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488812409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488812599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488918340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488920755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488921379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488922027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488979322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488980648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488981240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363488981885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489050269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489052158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489143246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489143625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489387949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363489389147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490417378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490422372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490424324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490428254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490430277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490430560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490660576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490663032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490667604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363490668907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491019752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491020048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491207544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491209647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491213433
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363491213844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363491230287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363492299867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363492300389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363492301505
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363492304163
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1363492309936
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1363492312610
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1363492312694
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1363492312747
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1363492312802
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1363492312838
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1363492312905
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1363492312955
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1363522497313
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1363522497317
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1363522497338
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1363522497372
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1363522497412
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1363522497430
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1363522497502
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1363522497536
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1363522497560
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1363522497606
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1363522497617
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1363522497627
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1363522497667
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1363522497688
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1363522497723
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1363522497886
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1363522497906
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1363522498036
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1363522498071
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1363522498082
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1363522498091
