what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1363718421471
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363718422429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718467363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718467554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718479432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718488959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1363718491580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718492848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718847177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718871689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718872823
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363718873828
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1363718875372
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1363718876547
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1363718876566
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1363718876587
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1363718876608
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1363718876672
