what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523332877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1363523332965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523343394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363523363727
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363523364669
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523376511
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1363523383813
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523388021
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523391719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1363523470861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523481716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523784570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523845823
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1363523845868
started,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1363523851891
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1363523851923
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1363523851988
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523852293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523852407
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523852471
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523854591
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523854591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523857908
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1363523857943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523884691
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523884883
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523885034
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523888234
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523892301
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363523911887
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523911887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523916823
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523918448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523918572
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1363523918621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523922623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523954855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363523966223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363524519399
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363524521446
